Filename,Meansize(mm)
Run354_Image08001_Crib0002.png,40.17
Run354_Image08002_Crib0004.png,39.92
Run354_Image08003_Crib0005.png,40.90
Run354_Image08003_Crib0006.png,40.17
Run354_Image08004_Crib0007.png,39.63
Run354_Image08004_Crib0008.png,38.33
Run354_Image08005_Crib0009.png,38.76
Run354_Image08005_Crib0010.png,37.55
Run354_Image08007_Crib0012.png,40.71
Run354_Image08007_Crib0013.png,39.93
Run354_Image08008_Crib0014.png,40.02
Run354_Image08008_Crib0015.png,39.18
Run354_Image08010_Crib0017.png,40.15
Run354_Image08011_Crib0018.png,38.94
Run354_Image08011_Crib0019.png,38.87
Run354_Image08012_Crib0020.png,39.48
Run354_Image08012_Crib0021.png,38.53
Run354_Image08014_Crib0023.png,39.84
Run354_Image08014_Crib0024.png,39.14
Run354_Image08015_Crib0025.png,38.92
Run354_Image08015_Crib0026.png,38.67
Run354_Image08016_Crib0027.png,38.87
Run354_Image08016_Crib0028.png,39.34
Run354_Image08017_Crib0029.png,40.48
Run354_Image08018_Crib0030.png,39.94
Run354_Image08018_Crib0031.png,39.87
Run354_Image08019_Crib0032.png,39.24
Run354_Image08020_Crib0034.png,38.35
Run354_Image08021_Crib0035.png,38.90
Run354_Image08021_Crib0036.png,38.60
Run354_Image08022_Crib0037.png,38.63
Run354_Image08022_Crib0038.png,39.54
Run354_Image08023_Crib0039.png,40.46
Run354_Image08023_Crib0040.png,37.92
Run354_Image08024_Crib0041.png,38.91
Run354_Image08024_Crib0042.png,37.63
Run354_Image08025_Crib0043.png,39.49
Run354_Image08025_Crib0044.png,36.27
Run354_Image08026_Crib0045.png,38.45
Run354_Image08026_Crib0046.png,38.87
Run354_Image08027_Crib0047.png,38.15
Run354_Image08027_Crib0048.png,38.36
Run354_Image08028_Crib0049.png,38.28
Run354_Image08028_Crib0050.png,38.46
Run354_Image08029_Crib0051.png,40.52
Run354_Image08029_Crib0052.png,38.21
Run354_Image08030_Crib0053.png,38.98
Run354_Image08030_Crib0054.png,39.03
Run354_Image08031_Crib0055.png,38.28
Run354_Image08031_Crib0056.png,39.29
Run354_Image08033_Crib0058.png,37.76
Run354_Image08033_Crib0059.png,38.93
Run354_Image08035_Crib0061.png,38.89
Run354_Image08036_Crib0062.png,37.32
Run354_Image08036_Crib0063.png,38.77
Run354_Image08038_Crib0065.png,38.45
Run354_Image08039_Crib0066.png,37.43
Run354_Image08041_Crib0069.png,37.58
Run354_Image08042_Crib0070.png,39.40
Run354_Image08042_Crib0071.png,38.02
Run354_Image08043_Crib0072.png,38.65
Run354_Image08044_Crib0074.png,38.13
Run354_Image08045_Crib0075.png,37.00
Run354_Image08045_Crib0076.png,37.55
Run354_Image08046_Crib0077.png,36.99
Run354_Image08046_Crib0078.png,38.71
Run354_Image08047_Crib0079.png,38.25
Run354_Image08047_Crib0080.png,39.20
Run354_Image08048_Crib0081.png,39.84
Run354_Image08048_Crib0082.png,37.04
Run354_Image08049_Crib0083.png,37.48
Run354_Image08049_Crib0084.png,37.32
Run354_Image08050_Crib0085.png,39.55
Run354_Image08051_Crib0087.png,38.97
Run354_Image08052_Crib0088.png,38.00
Run354_Image08052_Crib0089.png,38.38
Run354_Image08053_Crib0090.png,37.48
Run354_Image08053_Crib0091.png,38.06
Run354_Image08054_Crib0092.png,39.24
Run354_Image08054_Crib0093.png,38.85
Run354_Image08055_Crib0094.png,37.53
