crib_0000000_0000000_974_1435.png,crib_0000001_0000002_3651_4090.png,crib_0000031_0000032_63744_64206.png,crib_0000033_0000033_66439_66818.png,crib_0000059_0000059_118708_119155.png,crib_0000206_0000206_413557_413973.png,crib_0004943_0004943_9887118_9887493.png,crib_0009356_0009356_18713198_18713637.png,crib_0020050_0020051_20050688_20051131.png,crib_0020053_0020053_20053341_20053798.png
21.024,27.785,47.634,38.001,48.972,32.776,67.007,10.198,49.49,38.21
20.1,28.182,32.527,17.308,23.436,19.416,9.849,23.943,24.546,42.012
15.811,15.116,11.045,19.003,24.254,23.259,17.464,14.5,31.516,20.1
14.318,33.708,14.509,35.681,22.897,17.066,45.541,24.622,13.657,25.495
18.028,23,25.622,36.431,25.08,9.5,21.84,14.23,22.825,26.627
51.546,34.234,17.903,36.472,38.082,9.394,35.014,16.286,41.183,25.495
17.464,9,32.202,13.275,53.106,12.5,19.698,22.611,23.854,47.011
30.61,9.22,25.06,17.117,15.62,28.779,17.464,23.087,10.296,25.495
35.384,8.062,32.871,26.308,5,18.561,48.374,34.132,21.662,28.792
26.077,20.5,19.449,31.088,41.503,30.956,49.497,24.52,8.559,9
35.355,23.505,24.627,26.283,31.064,35,44,13.2,3,19.723
35.228,12.806,14.5,31.753,7.018,23.585,26.476,9,6.708,59.076
30.463,19.906,11,36.156,7.5,11.543,25.495,7.382,18.337,32.985
42.426,30.663,26.907,41.732,34.59,13.463,62.032,11.511,11.18,26.401
27.659,19.32,22.5,52.154,26.306,15.008,59.135,15.264,21.024,29.698
23.77,17.557,8.5,33.923,15.652,14.221,39.205,13.463,27.281,59.816
21.024,12,10.112,30.009,32.558,14.509,47.518,15,13.086,27.659
10.63,22.277,25.145,25.373,22,10.7,27.295,16.978,8.062,28
21.471,23.712,13.314,30.872,25.5,20,37.216,23.601,12.5,47.424
33.541,15.7,19.026,22.864,10.512,16.008,28.284,19.449,2.915,49.93
30.48,7.211,13.829,22.395,19.039,19.235,14.142,18.822,8.846,17.72
26.627,17.493,24.829,34.359,17.5,19.474,43.081,23.324,6,10.77
40.012,24.965,12.54,12.53,55.009,5,13.928,19.812,9.552,54.589
14.036,24.021,23.691,17,28.623,12.619,21.095,7.018,9.618,15.297
27.166,27.771,48.541,28.622,23.548,12.5,33.541,17.007,9.5,65.765
9,18.007,39.56,16.087,40.66,40.954,21.378,12.5,39.63,51.624
22,17.263,37.5,15.624,33.838,17.183,22.361,11.543,11.511,69.051
12.806,4.61,15.264,22.236,44.139,28.901,14.142,13.5,5.5,52.154
6.403,10.124,34.677,15.951,14.08,21.708,12.166,25.045,17.007,44
9.487,7.826,17.493,13.437,26.42,22.142,27.019,14.16,4.5,54.129
24.021,12.207,39.275,10.339,9.618,42.003,35.511,20.012,13.647,52.498
22.361,7,13.583,16.763,18.507,68.71,18.358,17.5,14.714,25.71
8.944,27.313,29.347,14.472,25.7,10.966,28.302,4.5,6,42.19
20.616,47.854,26,26.8,30.887,26.669,31.064,20.555,9.341,24.083
